1 93 10
2 85 11
3 86 26
4 83 31
5 72 36
6 77 42
7 74 51
8 68 47
9 62 62
10 53 68
11 49 69
12 47 69
13 47 77
14 51 77
15 46 72
16 47 81
17 48 74
18 34 70
19 37 78
20 40 78
21 40 86
22 45 78
23 40 79
24 42 86
25 40 89
26 47 78
27 31 80
28 38 85
29 34 79
30 37 80
31 28 82
32 36 84
33 22 95
34 37 85
35 30 93
36 35 88
37 36 93
38 24 92
39 22 91
40 20 95
41 25 92
42 30 90
43 21 96
44 20 91
45 24 92
46 24 96
47 33 97
48 25 94
49 20 96
50 32 95
51 21 95
52 23 97
53 20 99
54 19 96
55 21 95
56 26 100
57 18 96
58 21 100
59 23 95
60 19 97
61 19 97
62 18 99
63 14 98
64 10 100
65 16 99
66 11 99
67 17 99
68 16 98
69 12 99
70 20 99
71 21 100
72 18 97
73 19 99
74 21 100
75 17 100
76 17 100
77 22 100
78 17 98
79 12 99
80 16 99
81 15 100
82 12 99
83 12 100
84 12 100
85 20 99
86 17 100
87 21 100
88 9 100
89 18 99
90 18 98
91 16 100
92 16 100
93 11 100
94 22 100
95 15 98
96 9 100
97 18 99
98 15 100
99 12 98
100 17 99
