1 87 68
2 89 66
3 97 47
4 66 95
5 61 100
6 71 100
7 70 100
8 74 100
9 59 100
10 63 99
11 67 100
12 70 100
13 62 100
14 58 100
15 60 100
16 68 100
17 73 100
18 67 100
19 77 100
20 46 100
21 75 100
22 65 100
23 62 100
24 70 100
25 76 100
26 60 100
27 69 100
28 62 100
29 69 100
30 71 100
31 62 100
32 70 100
33 61 100
34 62 100
35 67 100
36 61 100
37 69 100
38 68 100
39 66 100
40 67 99
41 69 100
42 66 100
43 75 100
44 66 100
45 63 100
46 66 100
47 65 100
48 59 100
49 65 100
50 60 100
51 62 100
52 65 100
53 76 100
54 72 100
55 60 100
56 74 100
57 65 100
58 64 100
59 71 100
60 74 100
61 63 99
62 58 100
63 62 100
64 73 100
65 64 100
66 76 100
67 72 100
68 64 100
69 69 100
70 55 100
71 69 100
72 61 100
73 70 100
74 62 100
75 73 100
76 69 100
77 67 100
78 50 100
79 75 100
80 66 100
81 71 100
82 63 100
83 67 100
84 68 100
85 63 100
86 66 100
87 77 100
88 60 100
89 58 100
90 67 100
91 75 100
92 61 100
93 67 100
94 75 100
95 64 100
96 64 100
97 69 100
98 69 100
99 61 100
100 68 100
