1 89 11
2 91 6
3 91 6
4 93 13
5 90 10
6 89 10
7 91 8
8 93 10
9 95 7
10 87 10
11 86 8
12 92 15
13 91 2
14 93 8
15 95 7
16 93 8
17 95 3
18 90 10
19 90 6
20 92 6
21 92 8
22 94 14
23 89 8
24 90 8
25 90 8
26 92 8
27 91 7
28 90 10
29 86 6
30 94 4
31 95 7
32 92 11
33 93 5
34 86 10
35 89 7
36 93 6
37 94 4
38 90 10
39 87 9
40 93 12
41 95 9
42 87 7
43 87 4
44 87 7
45 86 10
46 92 9
47 86 9
48 85 14
49 94 6
50 92 5
51 91 12
52 85 10
53 84 8
54 90 5
55 91 10
56 93 7
57 93 7
58 87 11
59 90 8
60 92 9
61 89 7
62 89 8
63 89 10
64 89 4
65 93 5
66 87 5
67 97 6
68 93 10
69 90 15
70 94 5
71 95 13
72 91 7
73 91 6
74 93 16
75 94 7
76 90 8
77 92 8
78 93 7
79 94 4
80 94 5
81 88 7
82 94 7
83 91 10
84 93 5
85 83 6
86 91 14
87 88 10
88 90 9
89 93 7
90 92 11
91 95 8
92 98 9
93 94 6
94 92 17
95 97 7
96 95 6
97 91 9
98 86 7
99 95 9
100 96 10
